id,标题,内容,作者,平台,发布时间,发布时间戳,URL,情感,评论数,转发数,点赞数,来源,IP属地,命中关键词,行业类型
5281886899540120,#中华传统典礼文化100问#【以礼治军如何指向文武双全】 中国古代军事思想里的“以礼治军”讲求“内修文德”和“外治武备”的辩证统一，不仅应通过“教之以礼，励之以义”的治国治军之道来淬炼威武之志、锻造仁义之师，还必须在关键场合以强军典礼鼓舞战斗精神、坚定必胜信念。武王兴兵伐纣前就在孟津大会诸侯，充分宣誓了灭商的战争合法性，乃是顺应民心以赫赫战功换取天下太平，“立定厥功，惟克永世”。 据《左传》记载，...,#中华传统典礼文化100问#【以礼治军如何指向文武双全】中国古代军事思想里的“以礼治军”讲求“内修文德”和“外治武备”的辩证统一，不仅应通过“教之以礼，励之以义”的治国治军之道来淬炼威武之志、锻造仁义之师，还必须在关键场合以强军典礼鼓舞战斗精神、坚定必胜信念。武王兴兵伐纣前就在孟津大会诸侯，充分宣誓了灭商的战争合法性，乃是顺应民心以赫赫战功换取天下太平，“立定厥功，惟克永世”。据《左传》记载，臧僖伯认为“公矢鱼于棠”乃“非礼也”——演习大事以端正纲纪法度谓之“轨”，选取材料以制作重要器物谓之“物”，不轨不物便是乱政，乱政亟行就会导致治理的失败。那么，何为正轨？“春蒐、夏苗、秋狝、冬狩，皆于农隙以讲事也。三年而治兵，入而振旅，归而饮至，以数军实，昭文章，明贵贱，辨等列，顺少长，习威仪也。”《春秋榖梁传》也强调“虽有文事，必有武备”。战国赵武灵王胡服骑射，首开改革军制之先河，为国家发展和政权稳固奠定了基础，采取的重要典礼举措就包括为观看军事操演和庆祝胜利命令修筑丛台。#对粉底液将军反感是上纲上线吗##张凌赫谈负面评价##陈康令_礼和天下[超话]#,陈康令_礼和天下,微博,2026-03-29 19:23:52,1774783432000,http://weibo.com/1707869390/QymfDE1OU,中性,123,150,245,新浪,上海市,典礼;礼治;丛台,军事
5281466368135872,去下沉看了一眼，只能说很安心。 下沉基本上风向是又来一部烂古偶、粉底液将军和某人怎么丑了。 微博豆瓣几乎全差评，除了粉丝其他人评价都挺差的。 红薯更加集中在“老了”做什么都心酸。,去下沉看了一眼，只能说很安心。下沉基本上风向是又来一部烂古偶、粉底液将军和某人怎么丑了。微博豆瓣几乎全差评，除了粉丝其他人评价都挺差的。红薯更加集中在“老了”做什么都心酸。,爱旎的小疯子,微博,2026-03-28 15:32:50,1774683170000,http://weibo.com/7862322683/Qybjmy8vK,中性,48,1,709,新浪,广东省,豆瓣;粉丝;微博,食品
5281183290366928,这么严重吗[震惊],这么严重吗[震惊],不眠飛行漫遊,微博,2026-03-27 20:47:59,1774615679000,http://weibo.com/2475956952/Qy3WN1xsc,中性,43,0,170,新浪,浙江省,震惊;严重,
5281166978453508,这个是真的假的发在哪儿的？,这个是真的假的发在哪儿的？,说疯啦是谁疯啦,微博,2026-03-27 19:43:10,1774611790000,http://weibo.com/7675435014/Qy3wtzt8U,中性,24,2,68,新浪,上海市,哪儿,
5281811366152749,尔朵龙么 来动动,尔朵龙么来动动,梦妃弃子,微博,2026-03-29 14:23:44,1774765424000,http://weibo.com/9155028236/QykhOpOBT,中性,21,0,27,新浪,福建省,粉底液将军,
5283027359630053,晚间动动,晚间动动,吃祎口_,微博,2026-04-01 22:55:39,1775055339000,http://weibo.com/7596914330/QyPV5Epdr,中性,20,0,15,新浪,广东省,粉底液将军,
5281052444593537,#粉底液将军为何会激起群嘲#，唉，畸形审美啊，不是说不允许化妆啥的，但是要符合人物的人设呀，一个打仗的将军会有心思搞这些东西吗？[允悲],#粉底液将军为何会激起群嘲#，唉，畸形审美啊，不是说不允许化妆啥的，但是要符合人物的人设呀，一个打仗的将军会有心思搞这些东西吗？[允悲],文力元,微博,2026-03-27 12:08:03,1774584483000,http://weibo.com/7753704239/Qy0xKjgZj,中性,20,18,541,新浪,香港特别行政区,将军;化妆;畸形,
5281809996973464,来动动,来动动,聆凯叙言,微博,2026-03-29 14:18:17,1774765097000,http://weibo.com/7776854281/QykfBtg7e,中性,19,0,2,新浪,甘肃省,粉底液将军,
5283028341359775,一个晚上连刷到两个将军路透 感觉一个个在自证清白，我不是，我没有[doge],一个晚上连刷到两个将军路透感觉一个个在自证清白，我不是，我没有[doge],从良春春,微博,2026-04-01 22:59:33,1775055573000,http://weibo.com/7581621829/QyPWG5HJR,中性,16,0,46,新浪,广东省,将军;doge;路透,
5281791751489524,中午好 来和俺互动呀[奶牛猫],中午好来和俺互动呀[奶牛猫],九月的某一天my,微博,2026-03-29 13:05:47,1774760747000,http://weibo.com/7911038407/QyjMb6fuA,中性,16,0,1,新浪,江苏省,互动;奶牛,
5281811743641440,动动呀。。,动动呀。。,惟本环奈,微博,2026-03-29 14:25:14,1774765514000,http://weibo.com/7504164922/QykiqfhiU,中性,13,0,0,新浪,浙江省,粉底液将军,
